,Date,SessionTime,DriverAhead,sGapToCarAhead,Time,nEngine,vCar,nGear,rThrottlePedal,pBrakeF1,Source,RelativeDistance,Status,X,Y,Z,sLap,Lap
29275,06:27.7,0 days 01:20:41.350000,,301.4269444,0 days 00:00:00,11970.17733,269.9454557,6,100,FALSE,interpolation,0.00014706,OnTrack,-7667.616875,-6561.850493,502.2566183,0,27
29276,06:27.7,0 days 01:20:41.356000,,301.4269444,0 days 00:00:00.006000,11973,270,6,100,FALSE,car,0.000284086,OnTrack,-7668.054515,-6557.006943,502.2818117,0.45,27
29277,06:27.9,0 days 01:20:41.556000,10,301.4269444,0 days 00:00:00.206000,12039,270,6,100,FALSE,car,0.004855196,OnTrack,-7677.391237,-6385.768243,502.9234687,15.45,27
29278,06:27.9,0 days 01:20:41.593000,10,300.1319377,0 days 00:00:00.243000,12051.64173,270.3083349,6,100,FALSE,pos,0.005704067,OnTrack,-7678,-6352,503,18.228169,27
29279,06:28.1,0 days 01:20:41.796000,10,293.0269444,0 days 00:00:00.446000,12121,272,6,100,FALSE,car,0.01038116,OnTrack,-7675.153357,-6155.362963,503.1854487,33.56594678,27
29280,06:28.3,0 days 01:20:41.973000,10,286.9794379,0 days 00:00:00.623000,12154.74066,273.1062512,6,100,FALSE,pos,0.014477082,OnTrack,-7670,-6018,503,46.99367079,27
29281,06:28.4,0 days 01:20:42.116000,10,282.0936111,0 days 00:00:00.766000,12182,274,6,100,FALSE,car,0.017803289,OnTrack,-7667.507903,-5959.682695,502.6087822,57.87755968,27
29282,06:28.5,0 days 01:20:42.233000,10,278.0961046,0 days 00:00:00.883000,12233.18758,275.4625024,6,100,FALSE,pos,0.020537895,OnTrack,-7662,-5896,503,66.83009101,27
29283,06:28.6,0 days 01:20:42.276000,10,276.6269444,0 days 00:00:00.926000,12252,276,6,100,FALSE,car,0.021541441,OnTrack,-7658.32211,-5859.311024,503.4700791,70.12675768,27
29284,06:28.8,0 days 01:20:42.513000,10,269.2536051,0 days 00:00:01.163000,11855.87111,269.2285659,6,42.44281051,FALSE,pos,0.026971792,OnTrack,-7629,-5594,508,87.8509716,27
29285,06:28.9,0 days 01:20:42.556000,10,267.9158333,0 days 00:00:01.206000,11784,268,6,32,TRUE,car,0.027893591,OnTrack,-7624.423225,-5556.903647,508.7559169,91.05208271,27
29286,06:29.3,0 days 01:20:42.956000,10,261.5825,0 days 00:00:01.606000,11121,219,6,0,TRUE,car,0.035308947,OnTrack,-7592.184951,-5378.030138,515.0687734,115.385416,27
29287,06:29.3,0 days 01:20:42.994000,10,261.5086109,0 days 00:00:01.644000,11195.79116,215.2863511,6,0,TRUE,pos,0.035932431,OnTrack,-7588,-5359,516,117.6578831,27
29288,06:29.5,0 days 01:20:43.154000,10,261.1974998,0 days 00:00:01.804000,11510.70025,199.6499875,6,0,TRUE,pos,0.038425721,OnTrack,-7568,-5268,520,126.5312159,27
29289,06:29.7,0 days 01:20:43.396000,10,260.7269444,0 days 00:00:02.046000,11987,176,4,0,TRUE,car,0.041864258,OnTrack,-7540.017317,-5149.571111,519.7861447,138.362327,27
29290,06:29.7,0 days 01:20:43.414000,10,260.8269452,0 days 00:00:02.064000,11879.26923,173.9299853,4,0,TRUE,pos,0.042107487,OnTrack,-7537,-5138,520,139.2319769,27
29291,06:29.9,0 days 01:20:43.574000,10,261.715834,0 days 00:00:02.224000,10921.66923,155.5299853,4,0,TRUE,pos,0.044184339,OnTrack,-7505,-5020,524,146.1444207,27
29292,06:29.9,0 days 01:20:43.596000,10,261.8380556,0 days 00:00:02.246000,10790,153,3,0,TRUE,car,0.044454554,OnTrack,-7501.13128,-5006.159351,524.5288097,147.0794207,27
29293,06:30.3,0 days 01:20:43.993000,10,267.2416693,0 days 00:00:02.643000,10652.85448,130.4431709,3,0,TRUE,pos,0.04877305,OnTrack,-7462,-4883,530,161.4644037,27
29294,06:30.3,0 days 01:20:44.036000,10,267.8269444,0 days 00:00:02.686000,10638,128,2,0,TRUE,car,0.049222052,OnTrack,-7458.463748,-4873.306234,530.5924019,162.9932926,27
